연도,시도,회사,세대수,수요가수,보급률
2016,경기,인천,14391.0,5642.0,39.20505871725383
2016,경기,코원ES,765361.0,644033.0,84.1476113886127
2016,경남,경남,932105.0,644653.0,69.16098508215276
2016,경남,경동,125453.0,107391.0,85.60257626362063
2016,경남,지에스이,263265.0,138732.0,52.69671243803772
2016,경북,대성,126886.0,113798.0,89.68522926091137
2016,경북,대성청정,200875.0,65969.0,32.84082140634723
2016,경북,서라벌,161307.0,100451.0,62.27318095308944
2016,경북,영남ES(구미),406526.0,248059.0,61.01922140281311
2016,경북,영남ES(포항),257466.0,182551.0,70.90295417647378
2016,광주,해양,586464.0,572660.0,97.64623233480656
2016,대구,대성,994220.0,934567.0,94.00002011627204
2016,대전,CNCITY,606137.0,571987.0,94.36596017072048
2016,부산,부산,1451270.0,1271083.0,87.58418488634094
2016,서울,귀뚜라미,349562.0,351539.0,100.5655649069407
2016,서울,대륜,574101.0,535204.0,93.22471133128144
2016,서울,서울,1576273.0,1543168.0,97.89979273894816
2016,서울,예스코,916624.0,939632.0,102.5100804692
2016,서울,코원ES,773279.0,736274.0,95.21453446944764
2016,세종,중부,91187.0,72991.0,80.0454012085056
2016,세종,충청ES,3156.0,1854.0,58.74524714828897
2016,울산,경동,455352.0,418012.0,91.79975052267255
2016,인천,삼천리,404087.0,381075.0,94.30518675433756
2016,인천,인천,755690.0,686382.0,90.82851433788989
2016,전남,MC에너지,182284.0,111978.0,61.43051502051743
2016,전남,대화,107501.0,76513.0,71.17422163514759
2016,전남,전남,255937.0,137193.0,53.60420728538664
2016,전남,해양,221881.0,56637.0,25.52584493489753
2016,전북,군산,157350.0,101115.0,64.26120114394661
2016,전북,전북,432952.0,315443.0,72.85865407712633
2016,전북,전북ES,176005.0,104590.0,59.42444816908611
2016,제주,제주,186694.0,23455.0,12.56333893965526
2016,충남,CNCITY,14858.0,14077.0,94.74357248620272
2016,충남,서해,255848.0,131159.0,51.26442262593415
2016,충남,중부,631588.0,406934.0,64.43029316579796
2016,충북,참빛충북,88900.0,60303.0,67.83239595050618
2016,충북,충청ES,592060.0,368241.0,62.19656791541398
2017,강원,강원,213075.0,120237.0,56.42942625835973
2017,강원,명성,21008.0,807.0,3.841393754760091
